Station,Heure_requete,Jour,Date,Heure,Temperature,Temperature_precedente,Variation_temperature,Chute_temperature,Probabilite_pluie,Type_precipitation,Pluie_mm,Pluie_sup_50
Milan,2026-09-09 08:01:07,J+0,2026-09-09,10:00,21,21,0,NON,58,rain,0.03,OUI
Milan,2026-09-09 08:01:07,J+0,2026-09-09,15:00,23,22,1,NON,56,rain,1.3,OUI
Milan,2026-09-09 08:01:07,J+0,2026-09-09,16:00,23,23,0,NON,63,rain,2.2,OUI
Milan,2026-09-09 08:01:07,J+0,2026-09-09,17:00,23,23,0,NON,64,rain,1.7,OUI
Milan,2026-09-09 08:01:07,J+0,2026-09-09,18:00,22,23,-1,NON,69,rain,1.0,OUI
Milan,2026-09-09 08:01:07,J+0,2026-09-09,19:00,21,22,-1,NON,55,rain,1.0,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,17:00,21,21,0,NON,65,rain,1.1,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,18:00,21,21,0,NON,81,rain,1.4,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,19:00,20,21,-1,NON,87,rain,3.3,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,20:00,20,20,0,NON,87,rain,3.0,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,21:00,18,20,-2,NON,79,rain,1.0,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,22:00,18,18,0,NON,75,rain,0.7,OUI
Milan,2026-09-09 08:01:07,J+1,2026-09-10,23:00,17,18,-1,NON,68,rain,0.5,OUI
Milan,2026-09-09 08:01:07,J+2,2026-09-11,00:00,17,17,0,NON,53,rain,0.4,OUI
Munich,2026-09-09 08:01:07,J+0,2026-09-09,08:00,18,,,NON,89,rain,0.72,OUI
Munich,2026-09-09 08:01:07,J+0,2026-09-09,11:00,18,19,-1,NON,100,rain,0.82,OUI
Munich,2026-09-09 08:01:07,J+0,2026-09-09,12:00,17,18,-1,NON,100,rain,2.66,OUI
Munich,2026-09-09 08:01:07,J+0,2026-09-09,13:00,17,17,0,NON,64,rain,0.22,OUI
Munich,2026-09-09 08:01:07,J+0,2026-09-09,14:00,16,17,-1,NON,72,rain,0.5,OUI
Munich,2026-09-09 08:01:07,J+0,2026-09-09,15:00,15,16,-1,NON,63,rain,0.4,OUI
Amsterdam,2026-09-09 08:01:07,J+0,2026-09-09,08:00,15,,,NON,51,rain,0.01,OUI
Amsterdam,2026-09-09 08:01:07,J+0,2026-09-09,10:00,16,15,1,NON,79,rain,0.63,OUI
Amsterdam,2026-09-09 08:01:07,J+0,2026-09-09,13:00,16,15,1,NON,89,rain,0.68,OUI
Amsterdam,2026-09-09 08:01:07,J+0,2026-09-09,14:00,17,16,1,NON,100,rain,1.34,OUI
Varsovie,2026-09-09 08:01:07,J+1,2026-09-10,03:00,16,17,-1,NON,62,rain,0.5,OUI
Varsovie,2026-09-09 08:01:07,J+1,2026-09-10,04:00,15,16,-1,NON,82,rain,0.66,OUI
