Station,Heure_requete,Jour,Date,Heure,Temperature,Temperature_precedente,Variation_temperature,Chute_plus_5C,Precipitation_probabilite,Precipitation_type,Pluie_mm,Pluie_prevue
Paris,2026-08-25 17:38:55,J+0,2026-08-25,18:00,28,,,NON,24,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+0,2026-08-25,19:00,27,28,-1,NON,43,rain,0.01,OUI
Paris,2026-08-25 17:38:55,J+0,2026-08-25,20:00,26,27,-1,NON,33,rain,0.02,OUI
Paris,2026-08-25 17:38:55,J+0,2026-08-25,21:00,23,26,-3,NON,17,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+0,2026-08-25,22:00,22,23,-1,NON,18,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+0,2026-08-25,23:00,21,22,-1,NON,15,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,00:00,21,21,0,NON,12,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,01:00,20,21,-1,NON,20,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,02:00,20,20,0,NON,18,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,03:00,19,20,-1,NON,11,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,04:00,19,19,0,NON,9,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,05:00,18,19,-1,NON,9,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,06:00,18,18,0,NON,9,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,07:00,18,18,0,NON,9,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,08:00,18,18,0,NON,7,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,09:00,20,18,2,NON,5,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,10:00,22,20,2,NON,3,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,11:00,23,22,1,NON,1,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,12:00,25,23,2,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,13:00,26,25,1,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,14:00,27,26,1,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,15:00,28,27,1,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,16:00,29,28,1,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,17:00,29,29,0,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,18:00,29,29,0,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,19:00,28,29,-1,NON,0,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,20:00,28,28,0,NON,2,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,21:00,27,28,-1,NON,17,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,22:00,26,27,-1,NON,18,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+1,2026-08-26,23:00,24,26,-2,NON,35,rain,0.69,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,00:00,24,24,0,NON,67,rain,1.87,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,01:00,23,24,-1,NON,54,rain,0.62,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,02:00,22,23,-1,NON,42,rain,0.5,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,03:00,22,22,0,NON,21,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,04:00,21,22,-1,NON,32,rain,0.2,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,05:00,21,21,0,NON,20,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,06:00,20,21,-1,NON,20,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,07:00,19,20,-1,NON,11,rain,0.0,OUI
Paris,2026-08-25 17:38:55,J+2,2026-08-27,08:00,20,19,1,NON,8,rain,0.0,OUI
